Model Segment	Date	Prdcted_Kd
1_N_OTB	2005-02-15	0.170
1_N_OTB	2005-03-15	0.215
1_N_OTB	2005-04-15	0.298
1_N_OTB	2005-05-15	0.326
1_N_OTB	2005-06-15	0.384
1_N_OTB	2005-07-15	0.467
1_N_OTB	2005-08-15	0.495
1_N_OTB	2005-09-15	0.440
1_N_OTB	2005-10-15	0.353
1_N_OTB	2005-11-15	0.297
1_N_OTB	2005-12-15	0.224
1_N_OTB	2006-01-15	0.182
1_N_OTB	2006-02-15	0.175
1_N_OTB	2006-03-15	0.214
1_N_OTB	2006-04-15	0.291
1_N_OTB	2006-05-15	0.311
1_N_OTB	2006-06-15	0.367
1_N_OTB	2006-07-15	0.457
1_N_OTB	2006-08-15	0.493
1_N_OTB	2006-09-15	0.454
1_N_OTB	2006-10-15	0.361
1_N_OTB	2006-11-15	0.293
1_N_OTB	2006-12-15	0.223
1_N_OTB	2007-01-15	0.182
1_N_OTB	2007-02-15	0.157
1_N_OTB	2007-03-15	0.194
1_N_OTB	2007-04-15	0.282
1_N_OTB	2007-05-15	0.325
1_N_OTB	2007-06-15	0.377
1_N_OTB	2007-07-15	0.453
1_N_OTB	2007-08-15	0.480
1_N_OTB	2007-09-15	0.438
1_N_OTB	2007-10-15	0.356
1_N_OTB	2007-11-15	0.290
1_N_OTB	2007-12-15	0.224
1_N_OTB	2008-01-15	0.168
1_N_OTB	2008-02-15	0.163
1_N_OTB	2008-03-15	0.211
1_N_OTB	2008-04-15	0.301
1_N_OTB	2008-05-15	0.320
1_N_OTB	2008-06-15	0.372
1_N_OTB	2008-07-15	0.462
1_N_OTB	2008-08-15	0.486
1_N_OTB	2008-09-15	0.437
1_N_OTB	2008-10-15	0.337
1_N_OTB	2008-11-15	0.280
1_N_OTB	2008-12-15	0.215
1_N_OTB	2009-01-15	0.163
1_N_OTB	2009-02-15	0.148
1_N_OTB	2009-03-15	0.192
1_N_OTB	2009-04-15	0.279
1_N_OTB	2009-05-15	0.321
1_N_OTB	2009-06-15	0.384
1_N_OTB	2009-07-15	0.471
1_N_OTB	2009-08-15	0.493
1_N_OTB	2009-09-15	0.449
1_N_OTB	2009-10-15	0.364
1_N_OTB	2009-11-15	0.295
1_N_OTB	2009-12-15	0.224
1_N_OTB	2010-01-15	0.183
1_N_OTB	2010-02-15	0.168
1_N_OTB	2010-03-15	0.226
1_N_OTB	2010-04-15	0.315
1_N_OTB	2010-05-15	0.331
1_N_OTB	2010-06-15	0.384
1_N_OTB	2010-07-15	0.465
1_N_OTB	2010-08-15	0.486
1_N_OTB	2010-09-15	0.442
1_N_OTB	2010-10-15	0.354
1_N_OTB	2010-11-15	0.286
1_N_OTB	2010-12-15	0.195
1_N_OTB	2011-01-15	0.175
1_N_OTB	2011-02-15	0.167
1_N_OTB	2011-03-15	0.208
1_N_OTB	2011-04-15	0.303
1_N_OTB	2011-05-15	0.325
1_N_OTB	2011-06-15	0.372
1_N_OTB	2011-08-15	0.492
1_N_OTB	2011-09-15	0.450
1_N_OTB	2011-10-15	0.356
1_N_OTB	2011-11-15	0.298
1_N_OTB	2011-12-15	0.222
1_N_OTB	2012-01-15	0.170
1_N_OTB	2012-02-15	0.161
1_N_OTB	2012-03-15	0.202
1_N_OTB	2012-04-15	0.280
1_N_OTB	2012-05-15	0.307
1_N_OTB	2012-06-15	0.364
1_N_OTB	2012-07-15	0.464
1_N_OTB	2012-08-15	0.505
1_N_OTB	2012-09-15	0.455
1_N_OTB	2012-10-15	0.367
1_N_OTB	2012-11-15	0.293
1_N_OTB	2012-12-15	0.223
1_N_OTB	2013-01-15	0.169
1_N_OTB	2013-02-15	0.143
1_N_OTB	2013-03-15	0.195
1_N_OTB	2013-04-15	0.288
1_N_OTB	2013-05-15	0.311
1_N_OTB	2013-06-15	0.370
1_N_OTB	2013-07-15	0.461
1_N_OTB	2013-08-15	0.502
1_N_OTB	2013-09-15	0.457
1_N_OTB	2013-10-15	0.366
1_N_OTB	2013-11-15	0.296
1_N_OTB	2013-12-15	0.216
1_N_OTB	2014-01-15	0.163
1_N_OTB	2014-02-15	0.161
1_N_OTB	2014-03-15	0.212
1_N_OTB	2014-04-15	0.293
1_N_OTB	2014-05-15	0.315
1_N_OTB	2014-06-15	0.370
1_N_OTB	2014-07-15	0.459
1_N_OTB	2014-08-15	0.483
1_N_OTB	2014-09-15	0.443
1_N_OTB	2014-10-15	0.361
1_N_OTB	2014-11-15	0.294
1_N_OTB	2014-12-15	0.224
1_N_OTB	2015-01-15	0.178
1_N_OTB	2015-02-15	0.164
1_N_OTB	2015-03-15	0.214
1_N_OTB	2015-04-15	0.297
1_N_OTB	2015-05-15	0.322
1_N_OTB	2015-06-15	0.374
1_N_OTB	2015-07-15	0.471
1_N_OTB	2015-08-15	0.518
1_N_OTB	2015-09-15	0.467
1_N_OTB	2015-10-15	0.366
1_N_OTB	2015-11-15	0.302
1_N_OTB	2015-12-15	0.226
1_N_OTB	2016-01-15	0.167
1_N_OTB	2016-02-15	0.162
1_N_OTB	2016-03-15	0.213
1_N_OTB	2016-04-15	0.294
1_N_OTB	2016-05-15	0.318
1_N_OTB	2016-06-15	0.374
1_N_OTB	2016-07-15	0.456
1_N_OTB	2016-08-15	0.491
1_N_OTB	2016-09-15	0.452
1_N_OTB	2016-10-15	0.359
1_N_OTB	2016-11-15	0.301
1_N_OTB	2016-12-15	0.225
2_M_OTB	2005-02-15	0.168
2_M_OTB	2005-03-15	0.203
2_M_OTB	2005-04-15	0.280
2_M_OTB	2005-05-15	0.309
2_M_OTB	2005-06-15	0.363
2_M_OTB	2005-07-15	0.444
2_M_OTB	2005-08-15	0.473
2_M_OTB	2005-09-15	0.425
2_M_OTB	2005-10-15	0.342
2_M_OTB	2005-11-15	0.289
2_M_OTB	2005-12-15	0.221
2_M_OTB	2006-01-15	0.182
2_M_OTB	2006-02-15	0.172
2_M_OTB	2006-03-15	0.204
2_M_OTB	2006-04-15	0.275
2_M_OTB	2006-05-15	0.295
2_M_OTB	2006-06-15	0.345
2_M_OTB	2006-07-15	0.434
2_M_OTB	2006-08-15	0.473
2_M_OTB	2006-09-15	0.441
2_M_OTB	2006-10-15	0.351
2_M_OTB	2006-11-15	0.285
2_M_OTB	2006-12-15	0.221
2_M_OTB	2007-01-15	0.180
2_M_OTB	2007-02-15	0.154
2_M_OTB	2007-03-15	0.185
2_M_OTB	2007-04-15	0.271
2_M_OTB	2007-05-15	0.317
2_M_OTB	2007-06-15	0.358
2_M_OTB	2007-07-15	0.429
2_M_OTB	2007-08-15	0.458
2_M_OTB	2007-09-15	0.421
2_M_OTB	2007-10-15	0.343
2_M_OTB	2007-11-15	0.280
2_M_OTB	2007-12-15	0.218
2_M_OTB	2008-01-15	0.166
2_M_OTB	2008-02-15	0.161
2_M_OTB	2008-03-15	0.203
2_M_OTB	2008-04-15	0.289
2_M_OTB	2008-05-15	0.307
2_M_OTB	2008-06-15	0.352
2_M_OTB	2008-07-15	0.437
2_M_OTB	2008-08-15	0.462
2_M_OTB	2008-09-15	0.420
2_M_OTB	2008-10-15	0.324
2_M_OTB	2008-11-15	0.272
2_M_OTB	2008-12-15	0.212
2_M_OTB	2009-01-15	0.162
2_M_OTB	2009-02-15	0.146
2_M_OTB	2009-03-15	0.183
2_M_OTB	2009-04-15	0.262
2_M_OTB	2009-05-15	0.305
2_M_OTB	2009-06-15	0.364
2_M_OTB	2009-07-15	0.447
2_M_OTB	2009-08-15	0.474
2_M_OTB	2009-09-15	0.436
2_M_OTB	2009-10-15	0.353
2_M_OTB	2009-11-15	0.286
2_M_OTB	2009-12-15	0.221
2_M_OTB	2010-01-15	0.183
2_M_OTB	2010-02-15	0.169
2_M_OTB	2010-03-15	0.218
2_M_OTB	2010-04-15	0.301
2_M_OTB	2010-05-15	0.317
2_M_OTB	2010-06-15	0.363
2_M_OTB	2010-07-15	0.441
2_M_OTB	2010-08-15	0.465
2_M_OTB	2010-09-15	0.428
2_M_OTB	2010-10-15	0.343
2_M_OTB	2010-11-15	0.278
2_M_OTB	2010-12-15	0.195
2_M_OTB	2011-01-15	0.177
2_M_OTB	2011-02-15	0.166
2_M_OTB	2011-03-15	0.200
2_M_OTB	2011-04-15	0.288
2_M_OTB	2011-05-15	0.311
2_M_OTB	2011-06-15	0.352
2_M_OTB	2011-08-15	0.470
2_M_OTB	2011-09-15	0.435
2_M_OTB	2011-10-15	0.345
2_M_OTB	2011-11-15	0.290
2_M_OTB	2011-12-15	0.220
2_M_OTB	2012-01-15	0.171
2_M_OTB	2012-02-15	0.161
2_M_OTB	2012-03-15	0.194
2_M_OTB	2012-04-15	0.265
2_M_OTB	2012-05-15	0.292
2_M_OTB	2012-06-15	0.344
2_M_OTB	2012-07-15	0.439
2_M_OTB	2012-08-15	0.484
2_M_OTB	2012-09-15	0.442
2_M_OTB	2012-10-15	0.356
2_M_OTB	2012-11-15	0.284
2_M_OTB	2012-12-15	0.219
2_M_OTB	2013-01-15	0.168
2_M_OTB	2013-02-15	0.143
2_M_OTB	2013-03-15	0.187
2_M_OTB	2013-04-15	0.274
2_M_OTB	2013-05-15	0.298
2_M_OTB	2013-06-15	0.351
2_M_OTB	2013-07-15	0.438
2_M_OTB	2013-08-15	0.481
2_M_OTB	2013-09-15	0.444
2_M_OTB	2013-10-15	0.355
2_M_OTB	2013-11-15	0.288
2_M_OTB	2013-12-15	0.214
2_M_OTB	2014-01-15	0.165
2_M_OTB	2014-02-15	0.162
2_M_OTB	2014-03-15	0.204
2_M_OTB	2014-04-15	0.278
2_M_OTB	2014-05-15	0.301
2_M_OTB	2014-06-15	0.350
2_M_OTB	2014-07-15	0.435
2_M_OTB	2014-08-15	0.461
2_M_OTB	2014-09-15	0.429
2_M_OTB	2014-10-15	0.350
2_M_OTB	2014-11-15	0.287
2_M_OTB	2014-12-15	0.223
2_M_OTB	2015-01-15	0.180
2_M_OTB	2015-02-15	0.164
2_M_OTB	2015-03-15	0.207
2_M_OTB	2015-04-15	0.282
2_M_OTB	2015-05-15	0.307
